Rank,Time,Name,Code,Date of Birth,Place,City,Date,Gender,Event
584,27:29.1,Titus Mbishei,KEN,28/10/1990,4,Nairobi,26/06/2010,Men,"10,000 m"
585,27:29.2,Craig Virgin,USA,02/08/1955,1,Paris,17/07/1980,Men,"10,000 m"
586,27:29.2,Nguse Tesfaldet,ERI,10/11/1986,8,Moskva,10/08/2013,Men,"10,000 m"
587,27:29.3,Khalid Skah,MAR,29/01/1967,1,Bruxelles,10/08/1990,Men,"10,000 m"
588,27:29.3,Eshetu Wondimu,ETH,26/01/1982,9,Hengelo,24/05/2008,Men,"10,000 m"
589,27:29.3,Selim Bayrak,TUR,30/11/1987,11,Beijing,17/08/2008,Men,"10,000 m"
590,27:29.4,Leonard Korir,KEN,10/12/1986,8,Palo Alto,01/05/2011,Men,"10,000 m"
591,27:29.4,Wodajo Bulti,ETH,11/03/1957,1,Helsinki,02/07/1987,Men,"10,000 m"
592,27:29.4,Geoffrey Kipngeno,KEN,10/04/1984,6,Neerpelt,02/06/2007,Men,"10,000 m"
593,27:29.4,Luke Kipkosgei,KEN,27/11/1975,1,Melbourne,18/12/1997,Men,"10,000 m"
594,27:29.5,Paul Tergat,KEN,17/06/1969,5,Oslo,22/07/1994,Men,"10,000 m"
594,27:29.5,Josphat Kiprono Menjo,KEN,20/08/1979,1,Barakaldo,24/06/2006,Men,"10,000 m"
596,27:29.5,Charles Kamathi,KEN,18/05/1978,13,Bruxelles,05/09/2003,Men,"10,000 m"
597,27:29.5,Jaouad Gharib,MAR,22/05/1972,2,Praha,18/06/2001,Men,"10,000 m"
598,27:29.6,José Rios,ESP,15/03/1974,2,Pontevedra,20/07/2003,Men,"10,000 m"
599,27:29.6,Christopher Thompson,GBR,17/04/1981,6,Palo Alto,01/05/2010,Men,"10,000 m"
600,27:29.7,Kota Murayama,JPN,23/02/1993,3,Machida,28/11/2015,Men,"10,000 m"
601,27:29.7,Collis Birmingham,AUS,27/12/1984,2,Berkeley,24/04/2009,Men,"10,000 m"
602,27:29.7,Tetsuya Yoroizaka,JPN,20/03/1990,4,Machida,28/11/2015,Men,"10,000 m"
603,27:29.8,Patrick Tiernan,AUS,11/09/1994,1,Palo Alto,05/05/2017,Men,"10,000 m"
604,27:29.8,John Cheruiyot,KEN,05/07/1990,1,Brasschaat,11/07/2010,Men,"10,000 m"
604,27:29.8,Samuel Chelanga,KEN,23/02/1985,2,Palo Alto,29/04/2012,Men,"10,000 m"
606,27:29.9,Henry Rono,KEN,12/02/1952,1,Eugene,10/04/1982,Men,"10,000 m"
607,27:29.9,Hendrick Ramaala,RSA,02/02/1972,1,Port Elizabeth,22/02/1999,Men,"10,000 m"
608,27:30.0,Wilson Busienei,UGA,18/08/1981,4,Hengelo,31/05/2004,Men,"10,000 m"
609,27:30.0,Habte Jifar,ETH,29/01/1976,2,Hengelo,01/06/1998,Men,"10,000 m"
610,00:27:30,Alberto Salazar,USA,07/08/1958,2,Eugene,10/04/1982,Men,"10,000 m"
610,00:27:30,Mohamed Ahmed,CAN,05/01/1991,2,Palo Alto,05/05/2017,Men,"10,000 m"
612,27:30.0,Joseph Kimani,KEN,21/09/1972,6,Göteborg,08/08/1995,Men,"10,000 m"
613,27:30.0,Julius Kiptoo,KEN,04/09/1977,2,Melbourne,18/12/1997,Men,"10,000 m"
614,27:30.1,John Thuo,KEN,27/11/1985,3,Okayama,25/09/2009,Men,"10,000 m"
614,27:30.1,Yacob Jarso,ETH,05/02/1988,4,Okayama,25/09/2009,Men,"10,000 m"
616,27:30.2,Haile Gebrselassie,ETH,18/04/1973,3,Durban,24/06/1993,Men,"10,000 m"
617,27:30.2,Paul Tanui,KEN,22/12/1990,1,Fukuoka,21/09/2012,Men,"10,000 m"
618,27:30.2,John Cheruiyot Korir,KEN,13/12/1981,1,Praha,05/06/2000,Men,"10,000 m"
619,27:30.3,Habte Jifar,ETH,29/01/1976,3,Hengelo,31/05/1997,Men,"10,000 m"
620,27:30.3,Brendan Foster,GBR,12/01/1948,1,London,23/06/1978,Men,"10,000 m"
620,27:30.3,Benjamin Maiyo,KEN,06/10/1978,4,Ostrava,08/06/2004,Men,"10,000 m"
622,27:30.3,Patrick Mutunga,KEN,20/11/1994,2,Fukagawa,27/06/2012,Men,"10,000 m"
623,27:30.4,Shem Kororia,KEN,25/09/1972,1,Bratislava,29/05/1996,Men,"10,000 m"
624,27:30.4,Paul Koech,KEN,25/06/1969,4,Athínai,06/08/1997,Men,"10,000 m"
625,27:30.4,Mohamed Farah,GBR,23/03/1983,1,London,04/08/2012,Men,"10,000 m"
626,27:30.5,John Cheruiyot Korir,KEN,13/12/1981,9,Bruxelles,26/08/2005,Men,"10,000 m"
627,27:30.5,Samson Kimobwa,KEN,15/09/1955,1,Helsinki,30/06/1977,Men,"10,000 m"
628,27:30.5,John Kariuki,KEN,10/11/1986,4,Kobe,22/04/2007,Men,"10,000 m"
628,27:30.5,Kevin Chelimo,KEN,14/02/1983,9,Palo Alto,01/05/2011,Men,"10,000 m"
628,27:30.5,Hizkel Tewelde,ERI,15/09/1986,3,Leiden,11/06/2016,Men,"10,000 m"
631,27:30.5,Edward Waweru,KEN,03/10/1990,2,Kumagaya,20/09/2013,Men,"10,000 m"
632,27:30.5,Mike Kigen,KEN,15/01/1986,9,Bruxelles,16/09/2011,Men,"10,000 m"
632,27:30.5,Diego Estrada,USA,12/12/1989,9,Eugene,29/05/2015,Men,"10,000 m"
634,27:30.6,José Manuel Martinez,ESP,22/10/1971,3,Pontevedra,20/07/2003,Men,"10,000 m"
635,27:30.6,Hendrick Ramaala,RSA,02/02/1972,2,Villeneuve d'Ascq,11/07/1998,Men,"10,000 m"
636,27:30.6,Boniface Kiprop,UGA,12/10/1985,6,Bruxelles,05/09/2008,Men,"10,000 m"
637,27:30.6,Paul Tanui,KEN,22/12/1990,1,Fukuoka,21/05/2016,Men,"10,000 m"
638,27:30.6,Mike Kigen,KEN,15/01/1986,15,Eugene,03/06/2011,Men,"10,000 m"
639,27:30.7,Bedan Karoki,KEN,21/08/1990,1,Naka,18/05/2013,Men,"10,000 m"
640,27:30.7,Moses Mosop,KEN,17/07/1985,5,Ostrava,08/06/2004,Men,"10,000 m"
641,27:30.7,Abiyote Guta,ETH,01/01/1985,7,Neerpelt,02/06/2007,Men,"10,000 m"
642,27:30.7,Juan Luis Barrios,MEX,24/06/1983,10,Palo Alto,01/05/2011,Men,"10,000 m"
643,27:30.7,Hansjörg Kunze,GDR,28/12/1959,2,Jena,28/05/1983,Men,"10,000 m"
644,27:30.8,Nguse Amlosom,ERI,10/11/1986,9,Rio de Janeiro,13/08/2016,Men,"10,000 m"
645,27:30.8,David Bedford,GBR,30/12/1949,1,London,13/07/1973,Men,"10,000 m"
646,27:30.9,Josphat Kipkoech Bett,KEN,12/06/1990,1,Bydgoszcz,09/07/2008,Men,"10,000 m"
647,27:30.9,Galen Rupp,USA,08/05/1986,2,London,04/08/2012,Men,"10,000 m"
648,27:30.9,Simon Maina Munyi,KEN,18/03/1978,5,Bruxelles,25/08/2000,Men,"10,000 m"
649,27:30.9,Khalid El Amri,MAR,20/03/1977,12,Hengelo,26/05/2007,Men,"10,000 m"
649,27:30.9,Kenneth Kipkemoi,KEN,02/08/1984,6,Eugene,30/05/2014,Men,"10,000 m"
651,27:31.0,Martti Vainio,FIN,30/12/1950,1,Praha,29/08/1978,Men,"10,000 m"
652,00:27:31,Saïd Bérioui,MAR,03/06/1975,3,Villeneuve d'Ascq,11/07/1998,Men,"10,000 m"
653,27:31.1,Timothy Toroitich,UGA,10/10/1991,10,Eugene,31/05/2013,Men,"10,000 m"
654,27:31.1,Dominic Kirui,KEN,12/04/1967,3,Oslo,04/07/1997,Men,"10,000 m"
654,27:31.1,John Kariuki,KEN,10/11/1986,1,Fukuroi,22/10/2005,Men,"10,000 m"
656,27:31.2,Aron Rono,KEN,01/11/1982,11,Palo Alto,01/05/2011,Men,"10,000 m"
657,27:31.2,Thierry Pantel,FRA,06/07/1964,3,Oslo,14/07/1990,Men,"10,000 m"
658,27:31.2,Nick Rose,GBR,30/12/1951,3,Oslo,09/07/1983,Men,"10,000 m"
659,27:31.3,Simon Ndirangu,KEN,01/11/1985,1,Tokyo,13/05/2005,Men,"10,000 m"
660,27:31.3,Todd Williams,USA,07/03/1969,3,Knoxville,06/04/1995,Men,"10,000 m"
661,27:31.4,Chris Derrick,USA,17/10/1990,3,Palo Alto,29/04/2012,Men,"10,000 m"
662,27:31.4,Josphat Muchiri Ndambiri,KEN,12/02/1985,5,Osaka,27/08/2007,Men,"10,000 m"
663,27:31.4,Tariku Bekele,ETH,21/01/1987,3,London,04/08/2012,Men,"10,000 m"
664,27:31.5,Abdihakem Abdirahman,USA,01/01/1977,13,Hengelo,26/05/2007,Men,"10,000 m"
664,27:31.5,Bouabdellah Tahri,FRA,20/12/1978,12,Palo Alto,01/05/2011,Men,"10,000 m"
666,27:31.5,Venanzio Ortis,ITA,29/01/1955,2,Praha,29/08/1978,Men,"10,000 m"
666,27:31.5,Titus Mbishei,KEN,28/10/1990,10,Eugene,29/05/2015,Men,"10,000 m"
668,27:31.5,Aleksandras Antipovas,LTU,09/03/1955,3,Praha,29/08/1978,Men,"10,000 m"
669,27:31.5,William Sigei,KEN,11/10/1969,7,Bruxelles,25/08/1995,Men,"10,000 m"
670,27:31.6,Tim Nelson,USA,27/02/1984,7,Palo Alto,01/05/2010,Men,"10,000 m"
671,27:31.6,Philip Kemei,KEN,06/06/1977,4,Villeneuve d'Ascq,11/07/1998,Men,"10,000 m"
672,27:31.6,Aloÿs Nizigama,BDI,18/06/1966,1,Kagoshima,05/10/1996,Men,"10,000 m"
673,27:31.6,Josphat Muchiri Ndambiri,KEN,12/02/1985,1,Gifu,21/09/2007,Men,"10,000 m"
673,27:31.6,John Thuo Kimondo,KEN,27/11/1985,1,Fukuroi,18/10/2008,Men,"10,000 m"
673,27:31.6,Moukhled Al-Outaibi,KSA,30/04/1980,1,Radès,09/06/2012,Men,"10,000 m"
673,27:31.6,Bedan Karoki,KEN,21/08/1990,1,Nairobi,13/07/2013,Men,"10,000 m"
677,27:31.6,Titus Mbishei,KEN,28/10/1990,2,Bydgoszcz,09/07/2008,Men,"10,000 m"
678,27:31.7,Henry Rono,KEN,12/02/1952,1,Melbourne,06/02/1980,Men,"10,000 m"
679,27:31.7,Richard Chelimo,KEN,21/04/1972,1,Bruxelles,28/08/1992,Men,"10,000 m"
680,27:31.8,Edward Waweru,KEN,03/10/1990,3,Abashiri,06/07/2014,Men,"10,000 m"
681,27:31.9,Elijah Korir,KEN,15/04/1978,7,Bruxelles,28/08/1998,Men,"10,000 m"
681,27:31.9,Leonard Barsoton,KEN,21/10/1994,12,Eugene,27/05/2016,Men,"10,000 m"
681,27:31.9,Abraham Cheroben,BRN,10/11/1992,10,Rio de Janeiro,13/08/2016,Men,"10,000 m"
684,27:31.9,Khalid Skah,MAR,29/01/1967,8,Bruxelles,28/08/1998,Men,"10,000 m"
685,27:31.9,Tesfaye Girma,ETH,25/09/1982,2,Fukuroi,22/10/2005,Men,"10,000 m"
686,27:31.9,Shaun Creighton,AUS,14/05/1967,2,Melbourne,25/11/1996,Men,"10,000 m"
687,27:31.9,Geoffrey Kamworor,KEN,28/11/1992,11,Rio de Janeiro,13/08/2016,Men,"10,000 m"
688,27:32.0,John Thuo,KEN,27/11/1985,1,Tajimi,15/05/2010,Men,"10,000 m"
689,00:27:32,Goitom Kifle,ERI,03/12/1993,11,Eugene,31/05/2013,Men,"10,000 m"
690,27:32.0,Girma Tola,ETH,13/10/1975,3,Hengelo,01/06/1998,Men,"10,000 m"
690,27:32.0,Assefa Mezgebu,ETH,19/06/1978,8,Hengelo,29/05/2005,Men,"10,000 m"
692,27:32.1,Peter Kirui,KEN,02/01/1988,1,Nairobi,16/07/2011,Men,"10,000 m"
693,27:32.2,David Chelule,KEN,07/07/1977,2,Bratislava,29/05/1996,Men,"10,000 m"
693,27:32.2,Shadrack Kipchirchir,USA,22/02/1989,3,Palo Alto,05/05/2017,Men,"10,000 m"
695,27:32.3,Thomas Kiplitan,KEN,15/06/1983,2,Palo Alto,30/04/2004,Men,"10,000 m"
696,27:32.3,Dieter Baumann,GER,09/02/1965,3,Lisboa,04/04/1998,Men,"10,000 m"
697,27:32.4,Samuel Wanjiru,KEN,10/11/1986,1,Kobe,23/04/2005,Men,"10,000 m"
697,27:32.4,Jacob Chesari,KEN,06/04/1984,5,Nairobi,26/06/2010,Men,"10,000 m"
699,27:32.4,Kenenisa Bekele,ETH,13/06/1982,4,London,04/08/2012,Men,"10,000 m"
700,27:32.5,Assefa Mezgebu,ETH,19/06/1978,5,Athínai,06/08/1997,Men,"10,000 m"
701,27:32.5,Are Nakkim,NOR,13/02/1964,4,Oslo,14/07/1990,Men,"10,000 m"
701,27:32.5,Yacob Jarso,ETH,05/02/1988,1,Yokohama,23/11/2008,Men,"10,000 m"
703,27:32.6,Dejene Asfaw,ETH,23/01/1979,2,Yokohama,25/09/2010,Men,"10,000 m"
704,27:32.6,Byron Piedra,ECU,09/08/1982,13,Palo Alto,01/05/2011,Men,"10,000 m"
705,27:32.6,Tilahun Regessa,ETH,18/01/1990,6,Neerpelt,31/05/2008,Men,"10,000 m"
706,27:32.6,Zersenay Tadese,ERI,08/02/1982,1,Gavá,13/06/2004,Men,"10,000 m"
707,27:32.6,Fabiano Joseph Naasi,TAN,24/12/1985,14,Bruxelles,05/09/2003,Men,"10,000 m"
708,27:32.6,Brendan Foster,GBR,12/01/1948,4,Praha,29/08/1978,Men,"10,000 m"
709,27:32.7,Paul Tanui,KEN,22/12/1990,3,Kobe,24/04/2011,Men,"10,000 m"
710,27:32.7,Bilisuma Shume,BRN,19/07/1989,1,Guangzhou,26/11/2010,Men,"10,000 m"
710,27:32.7,John Thuo,KEN,27/11/1985,3,Fukagawa,27/06/2012,Men,"10,000 m"
712,27:32.8,Paul Tanui,KEN,22/12/1990,2,Nairobi,13/07/2013,Men,"10,000 m"
713,27:32.8,Dennis Masai,KEN,01/12/1991,12,Eugene,01/06/2012,Men,"10,000 m"
714,27:32.8,José Rios,ESP,15/03/1974,2,Barakaldo,08/07/2000,Men,"10,000 m"
715,27:32.8,Fabiano Joseph Naasi,TAN,24/12/1985,1,Watford,05/07/2003,Men,"10,000 m"
716,27:32.8,Ondoro Osoro,KEN,03/12/1967,4,Knoxville,06/04/1995,Men,"10,000 m"
717,27:32.8,Bedan Karoki,KEN,21/08/1990,3,Kobe,19/04/2014,Men,"10,000 m"
718,27:32.8,Fernando Mamede,POR,01/11/1951,1,Lisboa,20/08/1983,Men,"10,000 m"
719,27:32.9,Daniele Meucci,ITA,07/10/1985,4,Palo Alto,29/04/2012,Men,"10,000 m"
720,27:32.9,Wilson Kiprop,KEN,14/04/1987,2,Nairobi,16/07/2011,Men,"10,000 m"
720,27:32.9,Diego Estrada,MEX,12/12/1989,5,Palo Alto,29/04/2012,Men,"10,000 m"
722,27:32.9,Wilson Kiprop,KEN,14/04/1987,1,Nairobi,28/07/2010,Men,"10,000 m"
723,27:32.9,Bedan Karoki,KEN,21/08/1990,5,London,04/08/2012,Men,"10,000 m"
724,27:33.0,El Hassan El Abbassi,BRN,15/07/1979,7,Eugene,30/05/2014,Men,"10,000 m"
725,27:33.0,Salim Kipsang,KEN,22/12/1979,6,Bruxelles,25/08/2000,Men,"10,000 m"
725,27:33.0,Dennis Masai,KEN,01/12/1991,10,Bruxelles,16/09/2011,Men,"10,000 m"
727,27:33.0,Wilfred Taragon,KEN,15/02/1985,14,Hengelo,26/05/2007,Men,"10,000 m"
728,27:33.0,Hassan Mead,USA,28/08/1989,11,Eugene,29/05/2015,Men,"10,000 m"
729,27:33.1,Essa Ismail Rasheed,QAT,14/12/1986,2,Guangzhou,26/11/2010,Men,"10,000 m"
730,27:33.1,Hansjörg Kunze,GDR,28/12/1959,1,Potsdam,05/05/1984,Men,"10,000 m"
731,27:33.1,Leonard Barsoton,KEN,21/10/1994,1,Fukagawa,29/06/2013,Men,"10,000 m"
732,27:33.1,Francesco Panetta,ITA,10/01/1963,1,Bruxelles,19/08/1988,Men,"10,000 m"
732,27:33.1,Patrick Muendo Mwaka,KEN,02/11/1992,3,Fukuroi,15/10/2011,Men,"10,000 m"
734,27:33.2,Ismaïl Sghyr,FRA,16/03/1972,7,Bruxelles,25/08/2000,Men,"10,000 m"
735,27:33.3,Silas Kipruto,KEN,26/09/1984,7,Bruxelles,05/09/2008,Men,"10,000 m"
736,27:33.3,Laban Chege,KEN,10/09/1969,4,Oslo,04/07/1997,Men,"10,000 m"
737,27:33.4,Fernando Mamede,POR,01/11/1951,1,Colombes,29/05/1982,Men,"10,000 m"
737,27:33.4,Moses Kipsiro,UGA,02/09/1986,2,Nairobi,28/07/2010,Men,"10,000 m"
739,27:33.4,Robert Curtis,USA,28/11/1984,8,Palo Alto,01/05/2010,Men,"10,000 m"
739,27:33.4,Jeremiah Karemi Thuku,KEN,07/07/1994,2,Fukagawa,29/06/2013,Men,"10,000 m"
741,27:33.4,Juan Carlos de la Ossa,ESP,25/11/1976,10,Helsinki,08/08/2005,Men,"10,000 m"
742,27:33.5,Vincent Yator,KEN,11/07/1989,4,Nairobi,01/08/2015,Men,"10,000 m"
743,27:33.5,Abdihakem Abdirahman,USA,01/01/1977,9,Hengelo,29/05/2005,Men,"10,000 m"
744,27:33.5,Galen Rupp,USA,08/05/1986,1,Palo Alto,29/04/2007,Men,"10,000 m"
745,27:33.5,Zersenay Tadese,ERI,08/02/1982,6,London,04/08/2012,Men,"10,000 m"
746,27:33.5,Imane Merga,ETH,15/10/1988,1,Saint-Maur,06/06/2008,Men,"10,000 m"
747,27:33.6,Evans Rutto,KEN,14/01/1984,8,Bruxelles,25/08/2000,Men,"10,000 m"
747,27:33.6,Lucas Rotich,KEN,16/04/1990,2,Brasschaat,11/07/2010,Men,"10,000 m"
749,27:33.6,Wilberforce Kapkeny Talel,KEN,10/01/1980,6,Saint-Denis,24/08/2003,Men,"10,000 m"
750,27:33.7,Werner Schildhauer,GER,05/06/1959,1,Jena,29/05/1982,Men,"10,000 m"
751,27:33.7,Zane Robertson,NZL,14/11/1989,12,Rio de Janeiro,13/08/2016,Men,"10,000 m"
752,27:33.8,Aloÿs Nizigama,BDI,18/06/1966,4,Atlanta,29/07/1996,Men,"10,000 m"
753,27:33.8,Azmeraw Mengistu,ETH,15/09/1992,8,Hengelo,17/06/2015,Men,"10,000 m"
754,27:33.8,Geoffrey Mutai,KEN,07/10/1981,3,Nairobi,28/07/2010,Men,"10,000 m"
755,27:33.8,John Yuda,TAN,09/06/1979,10,Hengelo,29/05/2005,Men,"10,000 m"
756,27:33.9,Abdullah Ahmad Hassan,QAT,29/07/1981,15,Hengelo,26/05/2007,Men,"10,000 m"
756,27:33.9,Imane Merga,ETH,15/10/1988,1,Villeneuve d'Ascq,30/06/2009,Men,"10,000 m"
758,27:33.9,Alan Culpepper,USA,15/09/1972,5,Palo Alto,04/05/2001,Men,"10,000 m"
759,27:33.9,Matt Tegenkamp,USA,19/01/1982,2,Eugene,22/06/2012,Men,"10,000 m"
759,27:33.9,Ronald Kwemoi,KEN,18/09/1995,1,Hachioji,26/11/2016,Men,"10,000 m"
761,27:34.0,José David Galván,MEX,06/04/1973,2,Palo Alto,29/04/2007,Men,"10,000 m"
762,27:34.0,Kamiel Maase,NED,20/10/1971,8,Hengelo,30/05/1999,Men,"10,000 m"
763,27:34.0,Richard Chelimo,KEN,21/04/1972,1,Koblenz,11/09/1991,Men,"10,000 m"
764,27:34.1,Larbi Zéroual,MAR,10/01/1971,5,Villeneuve d'Ascq,11/07/1998,Men,"10,000 m"
765,27:34.1,Sileshi Sihine,ETH,29/01/1983,8,Daegu,28/08/2011,Men,"10,000 m"
766,27:34.2,Abdihakem Abdirahman,USA,01/01/1977,3,Palo Alto,30/04/2004,Men,"10,000 m"
767,27:34.3,Laban Chege,KEN,10/09/1969,3,Bratislava,29/05/1996,Men,"10,000 m"
768,27:34.3,Arturo Barrios,MEX,12/12/1963,2,Stockholm,05/07/1993,Men,"10,000 m"
769,27:34.3,Mohamed El Hachimi,MAR,05/09/1980,7,Neerpelt,31/05/2008,Men,"10,000 m"
770,27:34.4,Jean-Louis Prianon,FRA,22/02/1960,2,Helsinki,02/07/1987,Men,"10,000 m"
770,27:34.4,Benjamin Maiyo,KEN,06/10/1978,9,Bruxelles,28/08/1998,Men,"10,000 m"
770,27:34.4,Hassan Mead,USA,28/08/1989,4,Palo Alto,05/05/2017,Men,"10,000 m"
773,27:34.4,Juan Luis Barrios,MEX,24/06/1983,1,Palo Alto,04/05/2014,Men,"10,000 m"
774,27:34.5,Craig Mottram,AUS,18/06/1980,1,Palo Alto,04/05/2008,Men,"10,000 m"
775,27:34.5,Philip Kemei,KEN,06/06/1977,4,Hengelo,01/06/1998,Men,"10,000 m"
776,27:34.5,Domingos Castro,POR,22/11/1963,3,Stockholm,05/07/1993,Men,"10,000 m"
777,27:34.5,Lucas Rotich,KEN,16/04/1990,6,Nairobi,26/06/2010,Men,"10,000 m"
778,27:34.6,Julian Goater,GBR,12/01/1953,5,Oslo,26/06/1982,Men,"10,000 m"
779,27:34.6,Arturo Barrios,MEX,12/12/1963,1,Berlin,21/08/1992,Men,"10,000 m"
780,27:34.6,Mohamed Ahmed,CAN,05/01/1991,6,Palo Alto,29/04/2012,Men,"10,000 m"
781,27:34.7,Hansjörg Kunze,GDR,28/12/1959,1,Jena,31/05/1986,Men,"10,000 m"
782,27:34.7,Alan Webb,USA,13/01/1983,1,Palo Alto,30/04/2006,Men,"10,000 m"
784,27:34.8,Domingos Castro,POR,22/11/1963,2,Barakaldo,05/04/1997,Men,"10,000 m"
785,27:34.8,Musasabeker Marda,MAR,04/02/1982,2,Saint-Maur,06/06/2008,Men,"10,000 m"
786,27:35.0,Julius Korir,KEN,21/04/1960,1,Berlin,10/09/1991,Men,"10,000 m"
787,27:35.0,Abraham Cheroben,KEN,10/11/1992,4,Leiden,11/06/2016,Men,"10,000 m"
788,27:35.0,Paul Biwott,KEN,18/04/1978,1,Heusden-Zolder,20/07/2002,Men,"10,000 m"
789,27:35.1,Marilson dos Santos,BRA,06/08/1977,8,Neerpelt,31/05/2008,Men,"10,000 m"
790,27:35.1,Josephat Machuka,KEN,12/12/1973,5,Atlanta,29/07/1996,Men,"10,000 m"
791,27:35.1,Toshinari Takaoka,JPN,24/09/1970,6,Palo Alto,04/05/2001,Men,"10,000 m"
792,27:35.1,Felix Kibore,QAT,18/02/1988,2,Pergine Valsugana,12/07/2008,Men,"10,000 m"
793,27:35.1,José Rios,ESP,15/03/1974,1,Barakaldo,13/07/2002,Men,"10,000 m"
794,27:35.2,Martin Irungu Mathathi,KEN,25/12/1985,1,Kobe,21/04/2012,Men,"10,000 m"
795,27:35.2,Paul Koech,KEN,25/06/1969,6,Atlanta,29/07/1996,Men,"10,000 m"
796,27:35.2,Joseph Kimani,KEN,21/09/1972,2,Göteborg,05/08/1995,Men,"10,000 m"
797,27:35.2,Arturo Barrios,MEX,12/12/1963,1,Jena,28/05/1992,Men,"10,000 m"
798,27:35.3,Takeyuki Nakayama,JPN,20/12/1959,3,Helsinki,02/07/1987,Men,"10,000 m"
799,27:35.3,Saïd Bérioui,MAR,03/06/1975,4,Hengelo,31/05/1997,Men,"10,000 m"
799,27:35.3,Gideon Ngatuny,KEN,10/10/1986,2,Gifu,21/09/2007,Men,"10,000 m"
801,27:35.4,Josphat Muchiri Ndambiri,KEN,12/02/1985,1,Yamagata,26/09/2008,Men,"10,000 m"
802,27:35.5,Bernard Kiprop Kipyego,KEN,16/07/1986,10,Bruxelles,25/08/2006,Men,"10,000 m"
803,27:35.5,Polat Arikan,TUR,12/12/1990,13,Rio de Janeiro,13/08/2016,Men,"10,000 m"
804,27:35.5,John Maina,KEN,14/07/1993,5,Machida,28/11/2015,Men,"10,000 m"
805,27:35.6,Samuel Muturi,KEN,02/05/1986,5,Kobe,24/04/2005,Men,"10,000 m"
806,27:35.6,Simon Maina Munyi,KEN,18/03/1978,2,Heusden-Zolder,20/07/2002,Men,"10,000 m"
807,27:35.6,Dathan Ritzenhein,USA,30/12/1982,2,Palo Alto,30/04/2006,Men,"10,000 m"
807,27:35.6,Leonard Korir,USA,10/12/1986,14,Rio de Janeiro,13/08/2016,Men,"10,000 m"
809,27:35.7,Abdullah Ahmad Hassan,QAT,29/07/1981,10,Hengelo,24/05/2008,Men,"10,000 m"
810,27:35.7,Kamiel Maase,NED,20/10/1971,3,Barakaldo,05/04/1997,Men,"10,000 m"
810,27:35.7,Yonas Kifle,ERI,24/03/1977,11,Helsinki,08/08/2005,Men,"10,000 m"
810,27:35.7,Dennis Masai,KEN,01/12/1991,11,Bruxelles,07/09/2012,Men,"10,000 m"
813,27:35.7,Aloÿs Nizigama,BDI,18/06/1966,5,Hengelo,01/06/1998,Men,"10,000 m"
814,27:35.8,Leonard Barsoton,KEN,21/10/1994,5,Nairobi,01/08/2015,Men,"10,000 m"
815,27:35.8,Mohamed Ahmed,CAN,05/01/1991,9,Moskva,10/07/2013,Men,"10,000 m"
816,27:35.8,Joseph Keino,KEN,01/01/1963,2,Berlin,21/08/1992,Men,"10,000 m"
817,27:35.8,Carlos Lopes,POR,18/02/1947,1,Lisboa,04/06/1983,Men,"10,000 m"
818,27:35.8,Abayneh Ayele,ETH,04/11/1987,7,Hengelo,29/06/2016,Men,"10,000 m"
819,27:35.8,Patrick Kimeli,KEN,22/04/1989,8,Neerpelt,02/06/2007,Men,"10,000 m"
820,27:35.9,James Kimutai Koskei,KEN,23/11/1968,6,Villeneuve d'Ascq,11/07/1998,Men,"10,000 m"
821,27:35.9,Moses Tanui,KEN,20/08/1965,2,Berlin,10/09/1991,Men,"10,000 m"
822,00:27:36,Domingos Castro,POR,22/11/1963,2,Stockholm,03/07/1989,Men,"10,000 m"
822,00:27:36,Cameron Levins,CAN,28/03/1989,2,Palo Alto,04/05/2014,Men,"10,000 m"
824,27:36.0,Jeffrey Schiebler,CAN,01/06/1973,7,Palo Alto,04/05/2001,Men,"10,000 m"
825,27:36.1,Dathan Ritzenhein,USA,30/12/1982,3,Eugene,22/06/2012,Men,"10,000 m"
826,27:36.1,Kidane Tadese,ERI,31/08/1987,12,Beijing,17/08/2008,Men,"10,000 m"
827,27:36.1,Charles Kamathi,KEN,18/05/1978,2,Kumagaya,19/05/2007,Men,"10,000 m"
828,27:36.1,Mathias Ntawulikura,RWA,14/07/1964,6,Bruxelles,19/08/1994,Men,"10,000 m"
829,27:36.2,Gabriel Kamau,KEN,20/03/1957,1,Walnut,24/04/1982,Men,"10,000 m"
830,27:36.3,David Black,GBR,20/10/1952,5,Praha,29/08/1978,Men,"10,000 m"
831,27:36.3,Hendrick Ramaala,RSA,02/02/1972,5,Hengelo,31/05/1997,Men,"10,000 m"
832,27:36.3,Gebre-egziabher Gebremariam,ETH,10/09/1984,8,London,04/08/2012,Men,"10,000 m"
832,27:36.3,Abadi Hadis,ETH,06/11/1997,15,Rio de Janeiro,13/08/2016,Men,"10,000 m"
834,27:36.4,Zewdie Milion,ETH,24/01/1989,1,Machida,29/11/2014,Men,"10,000 m"
835,27:36.4,Zembaba Yigeze,ETH,26/09/1983,9,Neerpelt,31/05/2008,Men,"10,000 m"
836,27:36.4,Bashir Abdi,BEL,10/02/1989,3,Palo Alto,04/05/2014,Men,"10,000 m"
837,27:36.4,Micah Kogo,KEN,03/06/1986,8,Bruxelles,05/09/2008,Men,"10,000 m"
838,27:36.4,Jean-Louis Prianon,FRA,22/02/1960,4,Seoul,26/09/1988,Men,"10,000 m"
839,27:36.5,Günther Weidlinger,AUT,05/04/1978,2,Palo Alto,04/05/2008,Men,"10,000 m"
